loss->,,,,,,,train_acc,,,,,,,test_acc,,,,,,,,,,,,
epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC
0,4.159782887,2.80013299,4.065269947,4.137527943,4.097008705,,0,84.68333435,49.93333435,49.76666641,49.76666641,68.06666565,,0,84.30000305,49.9333344,50.90000153,50.90000153,67.69999695,,# Params,92,90,86,164,3710
1,4.091979504,2.502340555,3.892255306,3.97748208,3.998363018,,1,94.33333588,80.58333588,49.76666641,92.8833313,72.69999695,,1,93.90000153,80.5833359,50.90000153,93.09999847,72.5,,,,,,,
2,4.000980377,1.290765047,3.762781858,3.851122379,3.923335791,,2,99.6333313,99.98332977,49.91666794,98.6166687,69.8666687,,2,99.19999695,99.9833298,50.90000153,98.80000305,68.40000153,,,,,,,
3,3.909422159,0.441618323,3.636920214,3.721745253,3.846147299,,3,99.40000153,100,51.91666794,99.56666565,78.8666687,,3,98.90000153,100,52.5,99.59999847,75.19999695,,,,,,,
4,3.822182178,0.192371681,3.509940863,3.584365845,3.762695789,,4,99.8666687,100,60.13333511,99.76667023,81.09999847,,4,99.90000153,100,60.5,99.80000305,76.69999695,,,,,,,
5,3.732868433,0.10567148,3.381737471,3.43854785,3.677966595,,5,99.75,100,67.59999847,99.93333435,81.59999847,,5,99.69999695,100,67.09999847,100,78,,,,,,,
6,3.64129281,0.06611421,3.25570178,3.287907362,3.591938496,,6,99.8666687,100,80.3666687,99.91666412,83.44999695,,6,99.90000153,100,80,100,79.19999695,,,,,,,
7,3.547106504,0.044719685,3.128451824,3.133307219,3.502855301,,7,99.93333435,100,83.75,99.93333435,84.6166687,,7,99.90000153,100,83.90000153,100,78.80000305,,,,,,,
8,3.449948311,0.031850096,3.001582146,2.975788593,3.413829088,,8,99.56666565,100,89.69999695,99.94999695,85.6166687,,8,99.19999695,100,89.19999695,100,80.69999695,,,,,,,
9,3.351765156,0.023522969,2.874518633,2.814944029,3.31840229,,9,99.80000305,100,91.71666718,99.96666718,85.09999847,,9,99.80000305,100,90.80000305,100,81.5,,,,,,,
10,3.250185966,0.017860532,2.749012232,2.656601429,3.229350567,,10,99.73332977,100,94.48332977,99.93333435,87.1166687,,10,99.69999695,100,92.90000153,100,81.40000153,,,,,,,
11,3.147439957,0.013831776,2.625763416,2.494867086,3.136086226,,11,99.76667023,100,97.16666412,99.93333435,87.76667023,,11,99.90000153,100,96.19999695,100,82.59999847,,,,,,,
12,3.04327631,0.010887536,2.504957914,2.338015079,3.046276808,,12,99.73332977,100,97.68333435,99.90000153,88.09999847,,12,99.69999695,100,96.59999847,100,81.90000153,,,,,,,
13,2.938309193,0.008675961,2.386803389,2.181783438,2.953269958,,13,99.68333435,100,97.8666687,99.94999695,88.76667023,,13,99.59999847,100,96.80000305,100,83.09999847,,,,,,,
